"index","id","id_product","product_name","slug","price","short_description","full_description","category"
NULL,"10003353873",,"Robin Crop Top - White","robin-crop-top-white","6.006.00",NULL,NULL,"Basic Tops & Bodysuits"
NULL,"10007017681",,"GiGi Clear Toe Heel - Black","gigi-clear-toe-heel-black","34.9934.99",NULL,NULL,"Shoes"
NULL,"10012222225",,"Tasha Dressy High Rise Pants - Charcoal","tasha-dressy-high-rise-pants-charcoal","23.9923.99",NULL,NULL,"Pants"
NULL,"11699945489",,"Katie Cami Slip Dress - Black","katie-cami-slip-dress-black","6.006.00",NULL,NULL,"Dresses"
NULL,"1318540214396",,"My Number One Leggings - Black","my-number-one-leggings-black","7.007.00",NULL,NULL,"Leggings"
NULL,"1318601851004",,"Kathleen Floral Top - Rust","kathleen-floral-top-rust","23.9923.99",NULL,NULL,"Shirts & Blouses"
NULL,"1318814875772",,"Relaxed Vibe Solid Hoodie - Blue","relaxed-vibe-solid-hoodie-blue","15.0015.00",NULL,NULL,"Knit Tops"
NULL,"1318817988732",,"Stole Your Boyfriend's Oversized Jogger - Black","stole-your-boyfriends-oversized-jogger-black","18.0018.00",NULL,NULL,"Pants"
NULL,"1318819954812",,"Stole Your Boyfriend's Oversized Hoodie - Black","stole-your-boyfriends-oversized-hoodie-black","20.0020.00",NULL,NULL,"Knit Tops"
NULL,"1318841057404",,"Brianne High Rise Leggings - Black","brianne-high-rise-leggings-black","9.009.00",NULL,NULL,"Leggings"
NULL,"1318857212028",,"Relaxed Vibe Joggers - Marled Black","relaxed-vibe-joggers-marled-black","15.0015.00",NULL,NULL,"Pants"
NULL,"1319048904828",,"Moments After Cardigan - Khaki","moments-after-cardigan-khaki","19.9919.99",NULL,NULL,"Sweaters"
NULL,"1319120109692",,"Latest And Greatest French Terry Zip Hoodie - Black","latest-and-greatest-french-terry-zip-hoodie-black","12.0012.00",NULL,NULL,"Knit Tops"
NULL,"1319191183484",,"Relaxed Vibe Solid Hoodie - Black","relaxed-vibe-solid-hoodie-black","15.0015.00",NULL,NULL,"Knit Tops"
NULL,"1319209894012",,"Stole Your Boyfriend's Oversized Jogger - Nude","stole-your-boyfriends-oversized-jogger-nude","16.0016.00",NULL,NULL,"Pants"
NULL,"1319420428412",,"Kiss And Make Up Seamless Leggings - Black","kiss-and-make-up-seamless-leggings-black","7.007.00",NULL,NULL,"Leggings"
NULL,"1319460077692",,"Pamela Turtle Neck Long Sleeve Top - Off White","pamela-turtle-neck-long-sleeve-top-white","8.008.00",NULL,NULL,"Basic Tops & Bodysuits"
NULL,"1319478034556",,"Relaxed Vibe Joggers - Black","relaxed-vibe-joggers-black","15.0015.00",NULL,NULL,"Pants"
NULL,"1319478263932",,"Relaxed Vibe Joggers - Plum","relaxed-vibe-joggers-plum","15.0015.00",NULL,NULL,"Pants"
NULL,"1319652425852",,"Forever My Favorite Top - Black","forever-my-favorite-top-black","8.008.00",NULL,NULL,"Basic Tops & Bodysuits"
NULL,"1319653212284",,"Hyperstretch Skinny Pants - Tan","hyperstretch-skinny-pants-tan","19.9919.99",NULL,NULL,"Pants"
NULL,"1319714914428",,"Stole Your Boyfriend's Oversized Zip Up Hoodie - Black","stole-your-boyfriends-oversized-zip-up-black","22.0022.00",NULL,NULL,"Lounge"
NULL,"1319715012732",,"Stole Your Boyfriend's Oversized Zip Up Hoodie - Heathered Grey","stole-your-boyfriends-oversized-zip-up-heathered-grey","22.0022.00",NULL,NULL,"Lounge"
NULL,"1319734542460",,"Love At First Sight Pants - Black","love-at-first-sight-pants-black","19.9919.99",NULL,NULL,"Pants"
NULL,"1319822557308",,"Jules Body Sculpting Mini Dress - Black","jules-body-can-mini-dress-black","24.9924.99",NULL,NULL,"Dresses"
NULL,"1319857062012",,"Plain Jane Mini Shorts - Black","plain-jane-mini-shorts-black","5.005.00",NULL,NULL,"Shorts"
NULL,"1319858831484",,"Uncomplicated Seamless Shorts - Black","uncomplicated-seamless-shorts-black","5.005.00",NULL,NULL,"Shorts"
NULL,"1320085160060",,"Stole Your Boyfriend's Oversized Hoodie - Heather Grey","stole-your-boyfriends-oversized-hoodie-heather-grey","20.0020.00",NULL,NULL,"Knit Tops"
NULL,"1320085225596",,"Stole Your Boyfriend's Oversized Jogger - Heather Grey","stole-your-boyfriends-oversized-jogger-heather-grey","18.0018.00",NULL,NULL,"Pants"
NULL,"1320101347452",,"Valentina High Rise Flare Jeans - Black","valentina-high-rise-flare-jeans-black","17.9917.99",NULL,NULL,"Jeans"
NULL,"1320197783676",,"Smooth Operator High Rise Legging - Black","smooth-operator-high-rise-legging-black","7.007.00",NULL,NULL,"Leggings"
NULL,"1320200306812",,"Waisted Away High Rise Legging - Black","waisted-away-high-rise-leggings-black","7.007.00",NULL,NULL,"Leggings"
NULL,"1320202272892",,"Smooth It Out High Rise Legging - Black","smooth-it-out-high-rise-legging-black","7.007.00",NULL,NULL,"Leggings"
NULL,"1320290058364",,"Chelsea Biker Short Set - Black","chelsea-biker-short-set-black","16.0016.00",NULL,NULL,"Matching Sets"
NULL,"1320300216444",,"Carla Basic V Tee - Navy","carla-basic-v-tee-navy","6.006.00",NULL,NULL,"Basic Tops & Bodysuits"
NULL,"1320445673596",,"Rough Rider Biker Shorts - Black","rough-rider-biker-shorts-black","10.0010.00",NULL,NULL,"Shorts"
NULL,"1320505704572",,"Yasmeen Square Neck Top - Black","yasmeen-square-neck-top-black","10.0010.00",NULL,NULL,"Basic Tops & Bodysuits"
NULL,"1320582054012",,"Infinite And Beyond 6 Piece Costume Set - Green/combo","infinite-and-beyond-6-piece-costume-set-green-combo","59.4959.49",NULL,NULL,"Womens Costumes"
NULL,"1320582152316",,"Pebble Bedrock Baby 4 Piece Costume Set - Green/combo","pebble-bedrock-baby-4-piece-costume-set-green-combo","45.4945.49",NULL,NULL,"Womens Costumes"
NULL,"1320665546876",,"Chelsea Legging Set - Blue","chelsea-legging-set-blue","25.0025.00",NULL,NULL,"Matching Sets"
NULL,"1320695398524",,"Care For The Flare Heeled Sandals - Silver","care-for-the-flare-heeled-sandals-silver","27.9927.99",NULL,NULL,"Shoes"
NULL,"1320814739580",,"Tennis And Chill Fleece Jogger - Burgundy","tennis-and-chill-fleece-jogger-burgundy","15.0015.00",NULL,NULL,"Pants"
NULL,"1320815034492",,"Tennis And Chill Fleece Jogger - Black","tennis-and-chill-fleece-jogger-black","15.0015.00",NULL,NULL,"Pants"
NULL,"1320818475132",,"Stole Your Boyfriend's Oversized Jogger - Sage","stole-your-boyfriends-oversized-jogger-sage","18.0018.00",NULL,NULL,"Pants"
NULL,"1320818507900",,"Stole Your Boyfriend's Oversized Hoodie - Sage","stole-your-boyfriends-oversized-hoodie-sage","20.0020.00",NULL,NULL,"Knit Tops"
NULL,"1320831713404",,"She Bad PU Leather Pant - Black","she-bad-pu-leather-pant-black-1","20.0020.00",NULL,NULL,"Pants"
NULL,"1320883552380",,"Relaxed Vibe Joggers - Navy","relaxed-vibe-joggers-navy","15.0015.00",NULL,NULL,"Pants"
NULL,"1321071476860",,"The Mixer Distressed Denim Bermudas - Light Blue Wash","the-mixer-distressed-denim-bermudas-light-blue-wash","15.0015.00",NULL,NULL,"Jean Shorts"
NULL,"1321072001148",,"The Mixer Distressed Denim Bermudas - Medium Blue Wash","the-mixer-distressed-denim-bermudas-medium-blue-wash","15.0015.00",NULL,NULL,"Jean Shorts"
NULL,"1321127739516",,"Dangerous Affection Sweatshirt - Black/combo","dangerous-affection-sweatshirt-black-combo","23.9923.99",NULL,NULL,"Knit Tops"
NULL,"1321227059324",,"Nobody But Me Sandals - White","nobody-but-me-sandals-white","12.0012.00",NULL,NULL,"Shoes"
NULL,"1321269231740",,"Divine Basic Tank Bodysuit - Black","divine-basic-tank-bodysuit-black","8.008.00",NULL,NULL,"Basic Tops & Bodysuits"
NULL,"1321269264508",,"Divine Basic Tank Bodysuit - Khaki","divine-basic-tank-bodysuit-khaki","8.008.00",NULL,NULL,"Basic Tops & Bodysuits"
NULL,"1321269330044",,"Divine Basic Tank Bodysuit - Red","divine-basic-tank-bodysuit-red","6.006.00",NULL,NULL,"Basic Tops & Bodysuits"
